net,length_um
_1112_,673.87
net33,626.13
net26,614.05
net24,582.73
net35,575.99
clknet_0_clk,573.96
net37,561.01
net39,547.45
_1803_,542.16
net38,533.8
net36,530.965
net27,520.11
net28,518.63
_0732_,512.935
net30,493.77
_0731_,487.82
_2125_,485.21
net25,473.59
net32,467.56
net29,446.565
_2589_,445.075
_0733_,436.46
_2576_,428.07
tree_instances\[0\].u_tree.rst_n,420.22
_2619_,412.91
clknet_3_4__leaf_clk,406.075
clknet_3_1__leaf_clk,405.73
clknet_3_0__leaf_clk,402.145
_2627_,401.22
clknet_3_2__leaf_clk,399.61
net34,396.76
_2122_,388.8
_2588_,386.695
_2586_,386.12
clknet_3_7__leaf_clk,376.13
_2249_,370.83
clknet_3_3__leaf_clk,364.98
clknet_3_6__leaf_clk,363.59
_1837_,362.56
_2251_,360.28
clknet_3_5__leaf_clk,350.96
_1834_,347.18
tree_instances\[0\].u_tree.frame_id_in\[4\],320.16
_2583_,316.46
_2579_,310.88
_1835_,307.7
_1826_,306.02
_1832_,305.915
net31,301.58
_2714_,298.935
_2606_,297.63
_2600_,297.475
_2610_,296.8
_2246_,295.52
_2595_,293.615
_2603_,287.18
_2582_,283.28
_1830_,271.4
_2622_,266.02
_2580_,265.735
_2585_,265.26
_2598_,264.305
_1827_,264.105
_1829_,260.84
_2578_,255.71
_2713_,252.79
_2659_,249.84
net1,236.4
_2708_,231.235
_2441_,226.36
tree_instances\[4\].u_tree.ready_for_next,199.47
_1937_,193.08
_0032_,191.64
tree_instances\[8\].u_tree.ready_for_next,191.17
_2709_,178.845
_1020_,175.12
_2222_,174.64
_0799_,172.735
_0040_,170.32
_2553_,164.9
tree_instances\[11\].u_tree.ready_for_next,162.45
_2314_,156.06
_2614_,152.18
_2133_,149
_2820_,148.56
_3116_,147.675
_2030_,147.555
_0034_,146.36
_2972_,146.14
_2798_,145.54
tree_instances\[16\].u_tree.ready_for_next,142.97
_3102_,142.52
_2575_,140.8
_0996_,136.065
_0030_,136.02
_1956_,135.28
_0004_,134.14
clk,134.03
_2679_,133.34
_2534_,132.58
_2192_,132.38
_2010_,131.19
tree_instances\[1\].u_tree.prediction_out,130.8
tree_instances\[20\].u_tree.ready_for_next,129.42
_2399_,128.76
_0008_,128.66
_2652_,128.62
tree_instances\[16\].u_tree.prediction_out,128.24
clknet_leaf_40_clk,126.48
_2631_,122.495
_0010_,121.62
_0829_,119.735
_2189_,119.015
_2636_,118.14
_0042_,117.195
_0970_,116.805
_0000_,114.82
_1000_,113.115
clknet_leaf_62_clk,110.74
tree_instances\[12\].u_tree.prediction_out,110.6
net10,109.52
net23,109.16
_0735_,108.065
_2899_,107.78
_2602_,107.44
tree_instances\[11\].u_tree.tree_state\[3\],107.18
net40,106.55
clknet_leaf_39_clk,105.88
_1136_,105.345
_0932_,105.325
_1227_,105.135
clknet_leaf_23_clk,104.54
_2727_,104.22
_1137_,104.115
_1851_,103.48
clknet_leaf_52_clk,103.38
net8,103.34
_0994_,101.54
clknet_leaf_67_clk,100.98
clknet_leaf_20_clk,100.94
_2367_,100.54
_0753_,100.415
_0737_,100.335
_0028_,100.3
_0018_,99.4
_1252_,98.94
tree_instances\[3\].u_tree.prediction_out,98.8
clknet_leaf_91_clk,98.48
_1197_,97.815
_1840_,97.7
clknet_leaf_19_clk,97.68
_1025_,97.54
_0909_,95.595
clknet_leaf_1_clk,94.92
_1023_,94.815
_0044_,94.68
_0903_,93.885
_2613_,93.82
tree_instances\[13\].u_tree.prediction_out,93.76
clknet_leaf_98_clk,92.6
_0024_,92.24
_1824_,92.22
_2071_,90.66
_0026_,90.6
_0036_,90.44
clknet_leaf_74_clk,90.28
_2414_,89.66
clknet_leaf_35_clk,89.62
clknet_leaf_7_clk,89.32
_0755_,89.19
_0016_,89.035
clknet_leaf_21_clk,88.88
_0006_,88.575
clknet_leaf_30_clk,88.52
net7,87.96
_2296_,87.9
_2255_,87.52
clknet_leaf_15_clk,87.25
clknet_leaf_61_clk,87.13
_2687_,86.9
_1945_,86.57
_0038_,85.42
_2519_,85.28
clknet_leaf_8_clk,85.02
_3035_,84.66
clknet_leaf_100_clk,84.3
_0849_,84.26
clknet_leaf_29_clk,83.7
_0020_,82.72
_2012_,82.72
clknet_leaf_84_clk,80.78
clknet_leaf_90_clk,80.5
_1114_,80.32
current_voting_frame\[0\],80.21
_2624_,78.74
clknet_leaf_83_clk,78.68
_2800_,78.28
clknet_leaf_26_clk,77.96
_0992_,77.78
clknet_leaf_34_clk,77.04
clknet_leaf_66_clk,76.94
net6,76.56
clknet_leaf_37_clk,76.06
_2738_,76.04
clknet_leaf_45_clk,75.96
tree_instances\[3\].u_tree.tree_state\[3\],74.74
_0014_,74.6
clknet_leaf_32_clk,74.46
clknet_leaf_72_clk,74.36
clknet_leaf_41_clk,73.92
clknet_leaf_11_clk,73.64
clknet_leaf_68_clk,73.44
clknet_leaf_36_clk,73.36
clknet_leaf_12_clk,72.82
clknet_leaf_5_clk,72.74
clknet_leaf_24_clk,72.7
clknet_leaf_57_clk,72.04
_0998_,71.98
_2901_,71.97
tree_instances\[5\].u_tree.ready_for_next,71.71
tree_instances\[15\].u_tree.ready_for_next,70.96
clknet_leaf_46_clk,70.88
tree_instances\[6\].u_tree.ready_for_next,69.97
clknet_leaf_96_clk,69.8
clknet_leaf_38_clk,68.8
clknet_leaf_59_clk,68.8
clknet_leaf_60_clk,68.7
clknet_leaf_10_clk,68.53
clknet_leaf_87_clk,68.44
_1018_,68.26
clknet_leaf_4_clk,68.2
_2427_,67.92
_0022_,67.84
clknet_leaf_101_clk,67.4
clknet_leaf_70_clk,66.84
clknet_leaf_94_clk,66.46
clknet_leaf_48_clk,65.735
clknet_leaf_50_clk,65.5
tree_instances\[8\].u_tree.prediction_out,65.42
clknet_leaf_27_clk,65.215
clknet_leaf_44_clk,64.94
tree_instances\[8\].u_tree.pipeline_prediction\[0\]\[0\],64.64
clknet_leaf_88_clk,64.64
_2447_,64.3
_1812_,64.18
clknet_leaf_93_clk,64
clknet_leaf_31_clk,63.54
tree_instances\[8\].u_tree.frame_id_out\[4\],63.4
tree_instances\[9\].u_tree.frame_id_out\[4\],63.34
_1804_,63.1
_3020_,62.14
clknet_leaf_86_clk,62.12
tree_instances\[8\].u_tree.tree_state\[3\],62.06
clknet_leaf_80_clk,61.44
clknet_leaf_79_clk,61.32
_2989_,61
tree_instances\[20\].u_tree.prediction_out,60.96
clknet_leaf_55_clk,60.78
clknet_leaf_73_clk,60.695
clknet_leaf_69_clk,60.6
tree_instances\[8\].u_tree.tree_state\[0\],60.57
clknet_leaf_71_clk,60.13
tree_instances\[3\].u_tree.ready_for_next,59.96
tree_instances\[14\].u_tree.frame_id_out\[4\],59.38
_2772_,59.02
clknet_leaf_92_clk,58.38
clknet_leaf_81_clk,58.24
_2231_,58.2
clknet_leaf_9_clk,58.14
clknet_leaf_2_clk,58.06
_1816_,57.96
net21,57.2
clknet_leaf_17_clk,56.88
clknet_leaf_102_clk,56.68
tree_instances\[10\].u_tree.prediction_out,56.64
clknet_leaf_77_clk,54.8
clknet_leaf_22_clk,54.72
clknet_leaf_76_clk,54.52
clknet_leaf_6_clk,54.06
clknet_leaf_42_clk,54.06
tree_instances\[6\].u_tree.frame_id_out\[4\],53.92
current_voting_frame\[3\],53.48
clknet_leaf_51_clk,52.62
clknet_leaf_78_clk,52.14
_0943_,51.9
clknet_leaf_53_clk,51.04
_2780_,50.96
tree_instances\[18\].u_tree.frame_id_out\[4\],50.76
tree_instances\[8\].u_tree.frame_id_out\[3\],50.68
_2171_,50.47
clknet_leaf_33_clk,50.375
_2518_,50.12
_2810_,50.12
tree_instances\[14\].u_tree.ready_for_next,49.86
clknet_leaf_65_clk,48.52
_2764_,48.44
clknet_leaf_99_clk,48.24
net17,47.8
_2591_,47.78
clknet_leaf_54_clk,47.28
clknet_leaf_49_clk,47.2
clknet_leaf_82_clk,46.54
_0861_,46.5
tree_instances\[17\].u_tree.frame_id_out\[4\],46.5
clknet_leaf_18_clk,46.49
tree_instances\[8\].u_tree.frame_id_out\[2\],46.455
tree_instances\[5\].u_tree.pipeline_current_node\[0\]\[7\],46.06
tree_instances\[5\].u_tree.prediction_out,45.88
_2645_,45.82
clknet_leaf_56_clk,45.34
tree_instances\[20\].u_tree.frame_id_out\[4\],44.94
tree_instances\[12\].u_tree.frame_id_out\[4\],44.84
_0027_,44.78
net12,44.6
clknet_leaf_25_clk,44.52
_1818_,44.48
clknet_leaf_64_clk,44.34
clknet_leaf_13_clk,44.24
clknet_leaf_16_clk,43.92
clknet_leaf_43_clk,43.48
tree_instances\[18\].u_tree.frame_id_out\[2\],43.4
clknet_leaf_28_clk,43.34
_1245_,43.3
tree_instances\[16\].u_tree.tree_state\[2\],43.22
clknet_leaf_63_clk,43.22
_0756_,43.06
_2799_,43
tree_instances\[10\].u_tree.ready_for_next,42.86
tree_instances\[20\].u_tree.u_tree_weight_rom.cached_addr\[0\],42.82
_1134_,42.74
_0850_,42.73
tree_instances\[17\].u_tree.frame_id_out\[3\],42.72
tree_instances\[20\].u_tree.pipeline_current_node\[0\]\[7\],42.6
tree_instances\[3\].u_tree.u_tree_weight_rom.cached_addr\[1\],42.25
tree_instances\[16\].u_tree.frame_id_out\[4\],42.12
_1036_,42.04
tree_instances\[3\].u_tree.pipeline_current_node\[0\]\[5\],41.9
clknet_leaf_85_clk,41.7
clknet_leaf_97_clk,41.64
_1165_,41.5
attack_votes\[0\],41.46
tree_instances\[4\].u_tree.tree_state\[3\],41.12
tree_instances\[13\].u_tree.tree_state\[1\],40.9
tree_instances\[10\].u_tree.tree_state\[0\],40.86
_2003_,40.84
tree_instances\[19\].u_tree.frame_id_out\[0\],40.82
tree_instances\[16\].u_tree.tree_state\[0\],40.75
tree_instances\[5\].u_tree.pipeline_current_node\[0\]\[4\],40.54
clknet_leaf_47_clk,40.52
tree_instances\[8\].u_tree.tree_state\[1\],40.49
_2813_,40.22
_1045_,39.98
tree_instances\[19\].u_tree.frame_id_out\[3\],39.98
_2818_,39.9
_1724_,39.62
_2900_,39.48
_2959_,39.38
tree_instances\[5\].u_tree.tree_state\[0\],39.32
current_voting_frame\[1\],39.28
_2763_,39.26
state\[0\],38.94
clknet_leaf_95_clk,38.94
tree_instances\[17\].u_tree.ready_for_next,38.93
_0868_,38.46
_0072_,38.44
tree_instances\[8\].u_tree.pipeline_current_node\[0\]\[7\],38.44
tree_instances\[18\].u_tree.frame_id_out\[3\],38.14
_2635_,38.04
tree_instances\[6\].u_tree.frame_id_out\[0\],37.92
tree_instances\[3\].u_tree.tree_state\[0\],37.83
attack_votes\[1\],37.62
net22,37.6
tree_instances\[8\].u_tree.tree_state\[2\],37.59
net9,37.56
tree_instances\[15\].u_tree.frame_id_out\[4\],37.42
_1807_,37.34
tree_instances\[0\].u_tree.frame_id_out\[4\],37.27
tree_instances\[1\].u_tree.u_tree_weight_rom.cached_addr\[7\],37.08
_1014_,36.92
tree_instances\[1\].u_tree.frame_id_out\[4\],36.82
tree_instances\[5\].u_tree.u_tree_weight_rom.cached_addr\[2\],36.8
_0840_,36.78
clknet_leaf_14_clk,36.62
_2169_,36.52
tree_instances\[19\].u_tree.frame_id_out\[2\],36.5
tree_instances\[16\].u_tree.frame_id_out\[3\],36.43
tree_instances\[15\].u_tree.frame_id_out\[0\],36.3
tree_instances\[3\].u_tree.pipeline_current_node\[0\]\[6\],36.14
_0867_,35.94
_2577_,35.8
tree_instances\[13\].u_tree.frame_id_out\[4\],35.46
_0074_,35.38
tree_instances\[17\].u_tree.frame_id_out\[0\],35.35
tree_instances\[12\].u_tree.frame_id_out\[3\],35.32
tree_instances\[10\].u_tree.frame_id_out\[1\],35.08
_1685_,35.06
tree_instances\[9\].u_tree.ready_for_next,34.84
_1216_,34.79
tree_instances\[0\].u_tree.ready_for_next,34.68
tree_instances\[10\].u_tree.u_tree_weight_rom.cached_addr\[6\],34.64
_0770_,34.58
_1198_,34.55
tree_instances\[15\].u_tree.frame_id_out\[2\],34.46
tree_instances\[13\].u_tree.frame_id_out\[1\],34.295
tree_instances\[12\].u_tree.frame_id_out\[1\],34.22
_2517_,34.16
tree_instances\[16\].u_tree.pipeline_current_node\[0\]\[3\],34.16
tree_instances\[15\].u_tree.frame_id_out\[3\],34.12
_1809_,34.04
tree_instances\[14\].u_tree.frame_id_out\[3\],34.02
tree_instances\[10\].u_tree.frame_id_out\[4\],34
tree_instances\[3\].u_tree.pipeline_current_node\[0\]\[4\],34
tree_instances\[12\].u_tree.u_tree_weight_rom.cached_addr\[5\],33.93
tree_instances\[10\].u_tree.u_tree_weight_rom.cached_addr\[7\],33.78
clknet_leaf_58_clk,33.74
_1176_,33.72
tree_instances\[20\].u_tree.frame_id_out\[0\],33.72
tree_instances\[12\].u_tree.pipeline_current_node\[0\]\[7\],33.62
_1814_,33.48
tree_instances\[10\].u_tree.pipeline_current_node\[0\]\[3\],33.48
_1801_,33.4
tree_instances\[3\].u_tree.tree_state\[1\],33.3
tree_instances\[7\].u_tree.frame_id_out\[2\],33.26
_0987_,33.18
clknet_leaf_3_clk,33.18
_0937_,33.04
_0894_,32.84
_1808_,32.84
tree_instances\[19\].u_tree.frame_id_out\[1\],32.7
tree_instances\[10\].u_tree.tree_state\[3\],32.58
tree_instances\[5\].u_tree.tree_state\[1\],32.41
_1997_,32.35
_0830_,32.34
_1194_,32.28
_2532_,32.275
_0060_,32.14
_1817_,31.88
tree_instances\[20\].u_tree.node_data\[12\],31.82
tree_instances\[5\].u_tree.node_data\[107\],31.82
_3101_,31.74
tree_instances\[1\].u_tree.u_tree_weight_rom.cached_addr\[5\],31.74
tree_instances\[20\].u_tree.frame_id_out\[3\],31.66
_2890_,31.44
tree_instances\[16\].u_tree.pipeline_current_node\[0\]\[7\],31.34
tree_instances\[10\].u_tree.pipeline_current_node\[0\]\[7\],31.16
tree_instances\[16\].u_tree.pipeline_current_node\[0\]\[6\],30.83
_2099_,30.76
_0965_,30.68
_2465_,30.56
_2221_,30.52
_0771_,30.24
tree_instances\[3\].u_tree.pipeline_current_node\[0\]\[3\],30.24
_2671_,30.18
tree_instances\[1\].u_tree.frame_id_out\[0\],30.12
net2,29.9
tree_instances\[10\].u_tree.pipeline_current_node\[0\]\[6\],29.88
_1247_,29.8
tree_instances\[20\].u_tree.pipeline_current_node\[0\]\[5\],29.8
_1813_,29.78
tree_instances\[12\].u_tree.tree_state\[2\],29.7
_2816_,29.68
tree_instances\[3\].u_tree.u_tree_weight_rom.cached_addr\[6\],29.64
_2605_,29.58
tree_instances\[1\].u_tree.u_tree_weight_rom.cached_addr\[6\],29.54
tree_instances\[6\].u_tree.tree_state\[3\],29.52
_1686_,29.48
_2821_,29.48
tree_instances\[10\].u_tree.u_tree_weight_rom.cached_addr\[3\],29.48
tree_instances\[3\].u_tree.pipeline_current_node\[0\]\[0\],29.4
_2131_,29.32
tree_instances\[8\].u_tree.frame_id_out\[1\],29.32
tree_instances\[1\].u_tree.tree_state\[1\],29.18
tree_instances\[10\].u_tree.tree_state\[1\],29.16
_3004_,29
_2593_,28.96
tree_instances\[5\].u_tree.tree_state\[3\],28.86
clknet_leaf_0_clk,28.86
_1169_,28.82
tree_instances\[0\].u_tree.tree_state\[3\],28.82
tree_instances\[5\].u_tree.pipeline_current_node\[0\]\[8\],28.78
tree_instances\[16\].u_tree.pipeline_current_node\[0\]\[2\],28.76
tree_instances\[13\].u_tree.tree_state\[0\],28.69
tree_instances\[1\].u_tree.read_enable,28.62
_2711_,28.5
tree_instances\[5\].u_tree.pipeline_current_node\[0\]\[1\],28.48
_0017_,28.36
_1049_,28.36
tree_instances\[8\].u_tree.pipeline_current_node\[0\]\[2\],28.21
_1850_,28.18
tree_instances\[20\].u_tree.tree_state\[1\],28.05
_1811_,28.04
_1825_,28.04
tree_instances\[5\].u_tree.frame_id_out\[4\],27.98
tree_instances\[20\].u_tree.pipeline_current_node\[0\]\[6\],27.94
tree_instances\[20\].u_tree.frame_id_out\[1\],27.935
_1189_,27.9
_2690_,27.76
tree_instances\[16\].u_tree.tree_state\[1\],27.66
tree_instances\[2\].u_tree.frame_id_out\[2\],27.66
tree_instances\[10\].u_tree.frame_id_out\[3\],27.64
tree_instances\[16\].u_tree.frame_id_out\[2\],27.62
tree_instances\[16\].u_tree.u_tree_weight_rom.cached_addr\[3\],27.62
tree_instances\[16\].u_tree.frame_id_out\[0\],27.56
tree_instances\[12\].u_tree.tree_state\[0\],27.53
clknet_leaf_89_clk,27.5
tree_instances\[0\].u_tree.frame_id_out\[1\],27.44
tree_instances\[12\].u_tree.read_enable,27.18
_1157_,27.04
_0902_,27.02
tree_instances\[7\].u_tree.frame_id_out\[4\],26.88
_1810_,26.86
tree_instances\[12\].u_tree.pipeline_current_node\[0\]\[3\],26.86
net11,26.78
_2178_,26.72
_0800_,26.62
tree_instances\[5\].u_tree.u_tree_weight_rom.cached_addr\[6\],26.6
tree_instances\[12\].u_tree.node_data\[12\],26.44
tree_instances\[2\].u_tree.frame_id_out\[3\],26.4
_1322_,26.34
tree_instances\[5\].u_tree.tree_state\[2\],26.3
_2173_,26.26
tree_instances\[7\].u_tree.tree_state\[3\],26.135
_1781_,25.98
_3005_,25.92
_3034_,25.9
_2182_,25.89
tree_instances\[1\].u_tree.u_tree_weight_rom.cache_valid,25.86
_1957_,25.78
_2937_,25.64
_1820_,25.62
_2728_,25.6
tree_instances\[13\].u_tree.frame_id_out\[2\],25.6
tree_instances\[1\].u_tree.u_tree_weight_rom.cached_addr\[2\],25.59
tree_instances\[3\].u_tree.frame_id_out\[4\],25.56
_0742_,25.48
tree_instances\[3\].u_tree.frame_id_out\[0\],25.42
tree_instances\[5\].u_tree.u_tree_weight_rom.cached_addr\[0\],25.42
tree_instances\[17\].u_tree.tree_state\[0\],25.23
tree_instances\[10\].u_tree.u_tree_weight_rom.cached_addr\[1\],25.18
tree_instances\[12\].u_tree.tree_state\[1\],25.03
tree_instances\[11\].u_tree.pipeline_frame_id\[0\]\[0\],24.88
_2825_,24.86
tree_instances\[16\].u_tree.pipeline_current_node\[0\]\[0\],24.74
_1897_,24.68
_2360_,24.68
tree_instances\[16\].u_tree.tree_state\[3\],24.56
_2967_,24.52
_2172_,24.5
_2185_,24.5
current_voting_frame\[4\],24.5
tree_instances\[20\].u_tree.u_tree_weight_rom.cached_data\[12\],24.5
tree_instances\[3\].u_tree.u_tree_weight_rom.cached_addr\[3\],24.5
tree_instances\[8\].u_tree.u_tree_weight_rom.cached_addr\[2\],24.495
_1908_,24.46
_2008_,24.42
tree_instances\[1\].u_tree.tree_state\[0\],24.31
_0046_,24.26
_2244_,24.22
_1164_,24.18
_2348_,24.165
_0839_,24.12
tree_instances\[20\].u_tree.tree_state\[0\],24.11
tree_instances\[13\].u_tree.tree_state\[3\],24
_2533_,23.88
_1917_,23.84
tree_instances\[1\].u_tree.tree_state\[3\],23.84
_0836_,23.8
_0961_,23.7
tree_instances\[5\].u_tree.frame_id_out\[2\],23.64
tree_instances\[14\].u_tree.tree_state\[0\],23.57
tree_instances\[0\].u_tree.frame_id_out\[2\],23.54
_1046_,23.52
tree_instances\[10\].u_tree.u_tree_weight_rom.cached_addr\[4\],23.52
tree_instances\[10\].u_tree.frame_id_out\[0\],23.5
tree_instances\[16\].u_tree.read_enable,23.46
_1100_,23.44
tree_instances\[9\].u_tree.frame_id_out\[0\],23.44
tree_instances\[18\].u_tree.frame_id_out\[0\],23.375
_2443_,23.3
_1784_,23.28
_2939_,23.26
_1581_,23.18
_2550_,23.1
_2882_,23.08
tree_instances\[12\].u_tree.u_tree_weight_rom.cache_valid,23.08
tree_instances\[2\].u_tree.frame_id_out\[4\],23.04
tree_instances\[6\].u_tree.frame_id_out\[3\],23
